coil_id,production_date,shift_code,thickness_mm,width_mm,mass_out_tons,Hours,Grade,NextProcess,total_cycle_time_min,start_datetime,end_datetime
7241079,2024-04-01,A,1.8,1211,23.4,00:38:51,AC1 37,13,12.41303805,2024-04-01 17:00:32.250810,2024-04-01 17:12:57.033093
7255091,2024-04-01,B,2.3,1200,21.6,00:57:57,RC3 1,13,15.91651575,2024-04-01 20:49:57.722302,2024-04-01 21:05:52.713247
7232058,2024-04-01,A,1.5,1236,22.56,00:25:08,AC2 31,13,12.411669383333333,2024-04-01 12:06:01.641257,2024-04-01 12:18:26.341420
7232058,2024-04-01,A,1.5,1236,0.84,00:22:22,AC2 31,13,12.411669383333333,2024-04-01 12:06:01.641257,2024-04-01 12:18:26.341420
7258061,2024-04-02,C,1.4,1232,21.94,00:18:53,AC2 31,13,10.374939933333334,2024-04-03 02:56:40.267069,2024-04-03 03:07:02.763465
7262062,2024-04-02,C,1.75,1227,23.58,00:36:10,AC2 31,13,11.533269833333332,2024-04-03 05:01:31.897310,2024-04-03 05:13:03.893500
7258061,2024-04-02,C,1.4,1232,1.1,00:04:34,AC2 31,13,10.374939933333334,2024-04-03 02:56:40.267069,2024-04-03 03:07:02.763465
7265048,2024-04-02,B,1.75,1226,0.54,00:46:49,AC2 31,13,11.0132438,2024-04-03 07:04:20.643035,2024-04-03 07:15:21.437663
7264066,2024-04-03,C,2.5,1510,23.38,00:10:20,AC2 32,13,14.620672133333333,2024-04-04 07:28:07.687245,2024-04-04 07:42:44.927573
7247043,2024-04-03,C,3.0,1511,23.72,00:40:38,AC2 32,13,14.153071916666667,2024-04-03 13:20:29.638415,2024-04-03 13:34:38.822730
7264062,2024-04-03,C,2.5,1512,22.26,00:24:32,AC2 32,13,16.42787888333333,2024-04-04 06:24:03.541648,2024-04-04 06:40:29.214381
7247069,2024-04-03,C,2.1,1512,22.84,00:55:42,AC2 32,13,18.104818016666666,2024-04-03 13:34:38.822730,2024-04-03 13:52:45.111811
7247043,2024-04-03,C,3.0,1511,0.96,00:32:40,AC2 32,13,14.153071916666667,2024-04-03 13:20:29.638415,2024-04-03 13:34:38.822730
7247043,2024-04-03,C,3.0,1511,1.52,00:44:53,AC2 32,13,14.153071916666667,2024-04-03 13:20:29.638415,2024-04-03 13:34:38.822730
7264066,2024-04-03,C,2.5,1510,1.44,00:14:16,AC2 32,13,14.620672133333333,2024-04-04 07:28:07.687245,2024-04-04 07:42:44.927573
7242037,2024-04-04,D,3.0,1504,5.34,00:25:35,AC2 31,13,15.280009033333332,2024-04-04 11:35:45.363530,2024-04-04 11:51:02.164072
7247113,2024-04-04,D,4.0,1509,25.08,00:51:13,AC5 31,13,16.120517266666667,2024-04-04 15:28:11.866764,2024-04-04 15:44:19.097800
7247110,2024-04-04,D,4.0,1511,25.12,00:19:37,AC5 31,13,18.59401098333333,2024-04-04 15:09:36.226105,2024-04-04 15:28:11.866764
7242040,2024-04-04,D,3.0,1512,23.86,00:08:19,AC2 31,13,16.652679516666666,2024-04-04 11:51:02.164072,2024-04-04 12:07:41.324843
7242037,2024-04-04,D,3.0,1504,19.84,00:35:09,AC2 31,13,15.280009033333332,2024-04-04 11:35:45.363530,2024-04-04 11:51:02.164072
7250047,2024-04-04,D,3.0,1506,1.54,00:58:10,AC2 32,13,15.7314322,2024-04-04 16:51:37.963119,2024-04-04 17:07:21.849051
7264094,2024-04-05,A,1.9,1233,22.8,00:05:23,AC2 31,13,13.9102108,2024-04-05 17:24:11.656127,2024-04-05 17:38:06.268775
7264115,2024-04-05,A,1.9,1234,22.98,00:20:04,AC2 31,13,11.7874089,2024-04-05 17:51:23.797644,2024-04-05 18:03:11.042178
7265030,2024-04-05,B,1.75,1227,23.02,00:48:14,AC2 31,13,11.734336166666667,2024-04-05 18:25:35.108107,2024-04-05 18:37:19.168277
7264115,2024-04-05,A,1.9,1234,0.0,00:24:58,AC2 31,13,11.7874089,2024-04-05 17:51:23.797644,2024-04-05 18:03:11.042178
7410113,2024-04-06,B,2.36,985,17.6,00:46:29,RC2 33,4,16.523157566666665,2024-04-06 15:02:23.218923,2024-04-06 15:18:54.608377
7410154,2024-04-06,C,2.01,978,17.38,00:24:39,RC1 18,4,16.027646916666665,2024-04-06 20:17:08.451621,2024-04-06 20:33:10.110436
7410155,2024-04-06,C,2.01,978,17.58,00:06:22,RC1 18,4,15.069064233333334,2024-04-06 20:33:10.110436,2024-04-06 20:48:14.254290
7410150,2024-04-07,D,2.01,979,17.56,00:56:48,RC1 18,4,17.022699566666667,2024-04-07 21:04:57.938829,2024-04-07 21:21:59.300803
7410171,2024-04-07,D,2.01,978,17.52,00:27:33,RC1 18,4,15.898706800000001,2024-04-07 23:17:31.568551,2024-04-07 23:33:25.490959
7410115,2024-04-07,C,2.36,981,17.96,00:44:28,RC2 33,4,16.266724133333334,2024-04-07 16:24:56.265020,2024-04-07 16:41:12.268468
7410151,2024-04-07,D,2.01,979,16.92,00:07:40,RC1 18,4,16.6890027,2024-04-07 21:39:15.881958,2024-04-07 21:55:57.222120
7410151,2024-04-07,D,2.01,979,0.64,00:17:07,RC1 18,4,16.6890027,2024-04-07 21:39:15.881958,2024-04-07 21:55:57.222120
7418054,2024-04-08,A,1.4,1226,15.26,00:54:22,AC2 31,13,13.002844666666666,2024-04-09 02:29:05.635915,2024-04-09 02:42:05.806595
7411033,2024-04-08,D,1.75,1237,23.04,00:32:21,AC2 31,13,11.352542199999998,2024-04-08 17:53:07.470476,2024-04-08 18:04:28.623008
7411066,2024-04-08,A,1.6,1236,22.9,00:19:08,AC2 31,13,12.23137765,2024-04-08 20:53:49.601258,2024-04-08 21:06:03.483917
7413036,2024-04-08,A,1.6,1231,22.8,00:07:52,AC2 31,13,11.899667833333332,2024-04-08 22:06:14.254518,2024-04-08 22:18:08.234588
7418054,2024-04-08,A,1.4,1226,1.2,00:44:27,AC2 31,13,13.002844666666666,2024-04-09 02:29:05.635915,2024-04-09 02:42:05.806595
7264095,2024-04-09,A,1.9,1225,21.8,00:02:13,AC2 31,13,12.335109450000001,2024-04-09 06:44:55.292267,2024-04-09 06:57:15.398834
7265057,2024-04-09,A,1.75,1224,21.08,00:19:43,AC5 34,13,11.998928233333334,2024-04-09 06:57:15.398834,2024-04-09 07:09:15.334528
7418052,2024-04-09,B,1.4,1229,18.6,00:45:08,AC2 31,13,10.888807566666665,2024-04-09 20:30:25.152142,2024-04-09 20:41:18.480596
7418052,2024-04-09,B,1.4,1229,3.6,00:47:59,AC2 31,13,10.888807566666665,2024-04-09 20:30:25.152142,2024-04-09 20:41:18.480596
7418060,2024-04-10,B,1.75,1236,21.46,00:25:09,AC2 31,13,11.168955583333334,2024-04-10 08:52:16.633367,2024-04-10 09:03:26.770702
7418061,2024-04-10,B,1.75,1237,23.08,00:42:11,AC2 31,13,11.551264533333333,2024-04-10 09:03:26.770702,2024-04-10 09:14:59.846574
7419039,2024-04-10,B,1.5,1235,22.18,00:59:27,AC2 31,13,11.88370705,2024-04-10 09:52:22.217805,2024-04-10 10:04:15.240228
7417036,2024-04-10,B,1.5,1235,23.24,00:04:21,AC2 31,13,11.208842066666667,2024-04-10 08:41:04.102843,2024-04-10 08:52:16.633367
7422063,2024-04-12,D,1.85,1238,23.0,00:13:05,AC1 37,13,11.704070333333334,2024-04-12 11:16:11.279540,2024-04-12 11:27:53.523760
9810395,2024-04-12,A,1.75,1235,20.24,00:29:50,AC5 34,13,13.0676995,2024-04-13 05:12:14.087220,2024-04-13 05:25:18.149190
0360014,2024-04-12,D,1.4,1225,1.88,00:39:55,AC2 31,13,11.794432833333333,2024-04-12 06:11:02.424126,2024-04-12 06:22:50.090096
9810389,2024-04-13,A,2.4,1237,5.38,00:06:04,AC2 31,13,17.627035433333333,2024-04-14 10:00:45.563414,2024-04-14 10:18:23.185540
9810389,2024-04-13,A,2.4,1237,17.28,00:01:38,AC2 31,13,17.627035433333333,2024-04-14 10:00:45.563414,2024-04-14 10:18:23.185540
9810405,2024-04-13,A,1.6,1228,21.0,00:35:10,RC3 22,13,11.160597516666666,2024-04-14 10:18:23.185540,2024-04-14 10:29:32.821391
7411049,2024-04-13,B,1.75,1229,19.66,00:44:57,AC2 31,13,11.942756016666667,2024-04-13 21:35:50.426285,2024-04-13 21:47:46.991646
7411056,2024-04-13,B,1.75,1229,22.48,00:20:54,AC2 31,13,11.615843966666667,2024-04-13 22:43:39.492365,2024-04-13 22:55:16.443003
7411049,2024-04-13,B,1.75,1229,3.4,00:49:43,AC2 31,13,11.942756016666667,2024-04-13 21:35:50.426285,2024-04-13 21:47:46.991646
7243038,2024-04-14,B,2.2,1298,25.52,00:55:14,AC1 37,13,15.84060865,2024-04-14 10:41:53.693079,2024-04-14 10:57:44.129598
7242070,2024-04-14,B,2.0,1233,9.26,00:06:14,AC1 37,13,11.521044683333335,2024-04-14 10:30:22.430398,2024-04-14 10:41:53.693079
7420123,2024-04-14,C,1.6,1248,22.6,00:22:23,AC2 32,13,11.128175883333334,2024-04-14 22:31:54.027642,2024-04-14 22:43:01.718195
7247124,2024-04-14,B,2.5,1232,11.52,00:38:14,AC2 31,13,17.453107283333335,2024-04-14 11:40:15.157345,2024-04-14 11:57:42.343782
7247124,2024-04-14,B,2.5,1232,11.46,00:31:29,AC2 31,13,17.453107283333335,2024-04-14 11:40:15.157345,2024-04-14 11:57:42.343782
7420123,2024-04-14,C,1.6,1248,1.44,00:09:49,AC2 32,13,11.128175883333334,2024-04-14 22:31:54.027642,2024-04-14 22:43:01.718195
